activity,module_code,module_short_title,module_leader,assm_type,assm_component,assm_sem,sem_1_cred,sem_2_cred,assm_percent,start_date,time_released_to_students_9_30am,spot_date,submission_time_2pm_for_cw_9_30am_for_24hr_tests,end_date,reminder_sent,date_of_when_marks_feedback_were_released_to_students,late_y_n,if_late_why,assessment_title_for_ness_canvas,check_ness_assessment_matches_mof,set_up_coursework_exam_on_ness,submission_point_added_to_canvas,query,notes,faculty_marketing_document_added
BIO1022 Other Assessment Although based on field trips data will be provided to,BIO1022,Ecology and Conservation,Professor MJ Whittingham,Other Assessment,Prob Solv Exercises,1,20,0,90,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1023 Formative Assessment Practice in analysing and reporting on experimental results,BIO1023,Cells and Biomolecules,Dr V Andriotis,Formative Assessment,Practical/Lab Report,1,20,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO1023 Other Assessment One lab report, analysing and reporting on experimental",BIO1023,Cells and Biomolecules,Dr V Andriotis,Other Assessment,Practical/Lab Report,1,20,0,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO1023 Other Assessment Alternate assessment,BIO1023,Cells and Biomolecules,Dr V Andriotis,Other Assessment,Written Exercise,1,20,0,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2003 Other Assessment 2 pieces of assessment from 6 options.  Each assessment,BIO2003,Field Identification Skills,Professor MJ Whittingham,Other Assessment,Practical/Lab Report,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2013 Formative Assessment Formative tests,BIO2013,Animal Behaviour,Professor L Asher,Formative Assessment,Computer Assessment,1,10,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2013 Formative Assessment Formative practical write up,BIO2013,Animal Behaviour,Professor L Asher,Formative Assessment,Practical/Lab Report,1,10,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2013 Other Assessment Online MCQ/short summative answer quiz after formative,BIO2013,Animal Behaviour,Professor L Asher,Other Assessment,Computer Assessment,1,10,0,40,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2013 Other Assessment Summative Practical write-up,BIO2013,Animal Behaviour,Professor L Asher,Other Assessment,Practical/Lab Report,1,10,0,60,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2017 Other Assessment Integrative essay on topics delivered (max.1000 words),BIO2017,Microbiology,Dr MDC Montero-Calasanz,Other Assessment,Essay,2,0,10,60,2023-05-09,NA,2023-05-14,NA,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2017 Other Assessment Lab report (max. 1500 words),BIO2017,Microbiology,Dr MDC Montero-Calasanz,Other Assessment,Practical/Lab Report,2,0,10,40,2023-05-28,NA,2023-06-02,NA,2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2018 Other Assessment Group presentation via Zoom,BIO2018,"Pollution of Air, Water & Soil",Dr S Peacock,Other Assessment,Prof Skill Assessmnt,1,10,0,30,2022-08-31,NA,2022-10-20,NA,2022-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO2018 Other Assessment Alternative Assessment, 24hr Exam",BIO2018,"Pollution of Air, Water & Soil",Dr S Peacock,Other Assessment,Written Exercise,1,10,0,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2020 Formative Assessment via Canvas,BIO2020,Experimental Design and Statistics,Dr RA Sanderson,Formative Assessment,Computer Assessment,1,10,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2020 Other Assessment Synoptic computer test via Canvas,BIO2020,Experimental Design and Statistics,Dr RA Sanderson,Other Assessment,Computer Assessment,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2023 Formative Assessment Online self-test quizzes for biochemical problems,BIO2023,Cellular Biochemistry,Dr FM Cuskin,Formative Assessment,Computer Assessment,1,20,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2023 Formative Assessment Practical report feedforward throughout course,BIO2023,Cellular Biochemistry,Dr FM Cuskin,Formative Assessment,Practical/Lab Report,1,20,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2023 Formative Assessment Biochemical problems workshop,BIO2023,Cellular Biochemistry,Dr FM Cuskin,Formative Assessment,Prob Solv Exercises,1,20,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2023 Formative Assessment In-class test,BIO2023,Cellular Biochemistry,Dr FM Cuskin,Formative Assessment,Written Exercise,1,20,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO2023 Other Assessment (3 sections, worth 10 % each)",BIO2023,Cellular Biochemistry,Dr FM Cuskin,Other Assessment,Practical/Lab Report,1,20,0,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2023 Other Assessment Exam will be changed to Coursework Assessment consisting of,BIO2023,Cellular Biochemistry,Dr FM Cuskin,Other Assessment,Written Exercise,1,20,0,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2025 Other Assessment Canvas assessment,BIO2025,UK Wildlife,Dr RM Bevan,Other Assessment,Computer Assessment,1,10,0,40,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2025 Other Assessment Wildlife documentary proposal (10-15 powerpoint slides in,BIO2025,UK Wildlife,Dr RM Bevan,Other Assessment,Prof Skill Assessmnt,1,10,0,60,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO2028 Formative Assessment SimBio Computer practical worksheet, peer marked in class,",BIO2028,Biodiversity,Dr GB Stewart,Formative Assessment,Prob Solv Exercises,2,0,20,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2028 Other Assessment Data analysis and interpretation,BIO2028,Biodiversity,Dr GB Stewart,Other Assessment,Practical/Lab Report,2,0,20,30,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2028 Other Assessment Written exercise analysing data on life history tables,BIO2028,Biodiversity,Dr GB Stewart,Other Assessment,Written Exercise,2,0,20,70,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO2029 Formative Assessment Canvas quiz, assessment of first dissection allows students",BIO2029,Vertebrate Biology,Dr RM Bevan,Formative Assessment,Computer Assessment,2,0,20,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2029 Formative Assessment Canvas quiz - assessment of the second dissection allows,BIO2029,Vertebrate Biology,Dr RM Bevan,Formative Assessment,Computer Assessment,2,0,20,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2029 Other Assessment Canvas quiz following practical 3,BIO2029,Vertebrate Biology,Dr RM Bevan,Other Assessment,Computer Assessment,2,0,20,30,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2029 Other Assessment Time limited Essay,BIO2029,Vertebrate Biology,Dr RM Bevan,Other Assessment,Essay,2,0,20,70,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2030 Formative Assessment Daily feedback on lab skills given during lab workshop,BIO2030,Biotechnology: Principles and Practice,Dr MG Edwards,Formative Assessment,Prof Skill Assessmnt,2,0,20,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2030 Other Assessment Data analysis report (500 words plus analysis),BIO2030,Biotechnology: Principles and Practice,Dr MG Edwards,Other Assessment,Report,2,0,20,30,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2030 Other Assessment Online take home assessment,BIO2030,Biotechnology: Principles and Practice,Dr MG Edwards,Other Assessment,Written Exercise,2,0,20,70,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2032 Formative Assessment Group oral presentation (15-20 minutes)of results at,BIO2032,Residential Field Course,Dr Z Pattison,Formative Assessment,Oral Presentation,2,0,10,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2032 Other Assessment Team contribution assessment,BIO2032,Residential Field Course,Dr Z Pattison,Other Assessment,Prof Skill Assessmnt,2,0,10,20,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2032 Other Assessment Project report (2500 words),BIO2032,Residential Field Course,Dr Z Pattison,Other Assessment,Research Paper,2,0,10,80,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2033 Formative Assessment Short presentation,BIO2033,Bioprospecting,Dr TP Howard,Formative Assessment,Oral Presentation,1,0,20,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2033 Other Assessment Three data sheets for three different bacterial strains,BIO2033,Bioprospecting,Dr TP Howard,Other Assessment,Prof Skill Assessmnt,2,0,20,20,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2033 Other Assessment Project proposal - students provide a 500-word proposal for,BIO2033,Bioprospecting,Dr TP Howard,Other Assessment,Report,2,0,20,10,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO2033 Other Assessment A written report in style of a journal paper, 2500 words.",BIO2033,Bioprospecting,Dr TP Howard,Other Assessment,Report,2,0,20,70,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2034 Formative Assessment Practice Report,BIO2034,Animal Function,Dr M Booth,Formative Assessment,Written Exercise,1,20,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2034 Other Assessment Online computer assessment,BIO2034,Animal Function,Dr M Booth,Other Assessment,Computer Assessment,1,20,0,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2034 Other Assessment 1x practical report,BIO2034,Animal Function,Dr M Booth,Other Assessment,Practical/Lab Report,1,20,0,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2035 Exam Home Examination,BIO2035,Plant Biology,Dr T Taybi,Exam,PC Examination,1,20,0,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2035 Formative Assessment Practice in analysing and reporting on experimental results,BIO2035,Plant Biology,Dr T Taybi,Formative Assessment,Practical/Lab Report,1,20,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2035 Other Assessment lab report,BIO2035,Plant Biology,Dr T Taybi,Other Assessment,Practical/Lab Report,1,20,0,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2036 Formative Assessment Follow-up additional exercises with model answers for each,BIO2036,Molecular Evolution,Professor JC Bythell,Formative Assessment,Practical/Lab Report,2,0,20,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2036 Other Assessment Computer practical assignment,BIO2036,Molecular Evolution,Professor JC Bythell,Other Assessment,Practical/Lab Report,2,0,20,30,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2036 Other Assessment Take home written assessment,BIO2036,Molecular Evolution,Professor JC Bythell,Other Assessment,Written Exercise,2,0,20,70,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2037 Formative Assessment Feedback provided before summative assessed practical,BIO2037,Insect and arthropod biology,Professor G Budge,Formative Assessment,Practical/Lab Report,1,20,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2037 Other Assessment N/A,BIO2037,Insect and arthropod biology,Professor G Budge,Other Assessment,Practical/Lab Report,1,20,0,20,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2037 Other Assessment Practical/lab report 2,BIO2037,Insect and arthropod biology,Professor G Budge,Other Assessment,Practical/Lab Report,1,20,0,20,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2037 Other Assessment This will require the students to answer 3 of 5 short,BIO2037,Insect and arthropod biology,Professor G Budge,Other Assessment,Written Exercise,1,20,0,60,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2038 Formative Assessment Questionnaire completed on the Farne Islands Trip,BIO2038,Marine Vertebrates,Dr RM Bevan,Formative Assessment,Written Exercise,2,0,20,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2038 Other Assessment 1 x practical report,BIO2038,Marine Vertebrates,Dr RM Bevan,Other Assessment,Practical/Lab Report,2,0,20,30,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO2038 Other Assessment Take home examination / alternate assessment (associated,BIO2038,Marine Vertebrates,Dr RM Bevan,Other Assessment,Written Exercise,2,0,20,70,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3032 Formative Assessment Data interpretation test,BIO3032,Cellular Systems,Dr E Hack,Formative Assessment,Written Exercise,2,10,0,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3032 Other Assessment Interpretation of published research linked to the lecture,BIO3032,Cellular Systems,Dr E Hack,Other Assessment,Written Exercise,2,10,0,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3036 Other Assessment 1500-2000 word report.,BIO3036,Mammal Surveying Skills,Dr AC Mill,Other Assessment,Written Exercise,2,0,10,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO3037 Formative Assessment Two formative presentation session, partly peer assessed.",BIO3037,Current Zoology,Dr PA Robertson,Formative Assessment,Prof Skill Assessmnt,2,10,0,0,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3037 Other Assessment Summative presentation session; partly peer assessed.,BIO3037,Current Zoology,Dr PA Robertson,Other Assessment,Prof Skill Assessmnt,1,10,0,60,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3037 Other Assessment Students given a list of questions.  One week to complete,BIO3037,Current Zoology,Dr PA Robertson,Other Assessment,Written Exercise,1,10,0,40,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3039 Other Assessment Computer-based in course assessment 4 pages,BIO3039,Biodiversity Science and Management,Dr M Pfeifer,Other Assessment,Case Study,2,0,20,20,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3039 Other Assessment Choose two of four questions to write an essay style answer,BIO3039,Biodiversity Science and Management,Dr M Pfeifer,Other Assessment,Essay,2,0,20,80,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3040 Formative Assessment Group presentations on life history ecology theory and,BIO3040,Applied Ecology,Dr GR Port,Formative Assessment,Oral Presentation,1,20,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3040 Other Assessment Policy or Management Brief 6-8 pages,BIO3040,Applied Ecology,Dr GR Port,Other Assessment,Written Exercise,1,20,0,40,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3040 Other Assessment N/A,BIO3040,Applied Ecology,Dr GR Port,Other Assessment,Written Exercise,1,20,0,60,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3042 Other Assessment Case studies of genetic modification (1500 words) which,BIO3042,Biotechnology: Applications,Dr MV Kapralov,Other Assessment,Written Exercise,2,0,20,30,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3042 Other Assessment Home assessment to be submitted via Turnitin,BIO3042,Biotechnology: Applications,Dr MV Kapralov,Other Assessment,Written Exercise,2,0,20,70,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3048 Other Assessment Data visualisation exercise.,BIO3048,Research in PMB,Dr J Marles-Wright,Other Assessment,Report,1,10,0,20,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3048 Other Assessment Prepare a graphical abstract for a paper presented in the,BIO3048,Research in PMB,Dr J Marles-Wright,Other Assessment,Report,2,10,0,30,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3048 Other Assessment 1500 words.  Prepare a news and views style article for a,BIO3048,Research in PMB,Dr J Marles-Wright,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3049 Other Assessment Project Report,BIO3049,Biological Modelling,Professor SP Rushton,Other Assessment,Report,2,0,20,40,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3049 Other Assessment Shiny Apps Report,BIO3049,Biological Modelling,Professor SP Rushton,Other Assessment,Report,2,0,20,60,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3050 Other Assessment A summary of a research topic or paper (e.g. graphical,BIO3050,Physiological Zoology,Dr RM Bevan,Other Assessment,Case Study,1,0,20,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3050 Other Assessment Essay,BIO3050,Physiological Zoology,Dr RM Bevan,Other Assessment,Essay,2,0,20,70,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3051 Other Assessment N/A,BIO3051,Microbial Genomics,Dr MDC Montero-Calasanz,Other Assessment,Practical/Lab Report,1,0,20,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3051 Other Assessment 3000 words,BIO3051,Microbial Genomics,Dr MDC Montero-Calasanz,Other Assessment,Research Paper,1,0,20,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO3052 Other Assessment Students work in groups of 4-5 assigned by module leader,",BIO3052,Global challenges in plant science,Professor AM Borland,Other Assessment,Poster,2,0,20,20,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIO3052 Other Assessment Home exam/assessment, to be submitted via Turnitin",BIO3052,Global challenges in plant science,Professor AM Borland,Other Assessment,Written Exercise,2,0,20,80,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3197 Formative Assessment Project Plan,BIO3197,Biological Literature Review,Dr T Taybi,Formative Assessment,Written Exercise,1,40,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3197 Formative Assessment Progress report,BIO3197,Biological Literature Review,Dr T Taybi,Formative Assessment,Written Exercise,1,40,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3197 Other Assessment Long Review (6000-8000 words),BIO3197,Biological Literature Review,Dr T Taybi,Other Assessment,Dissertation,2,40,0,55,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3197 Other Assessment Poster for lay audience,BIO3197,Biological Literature Review,Dr T Taybi,Other Assessment,Poster,2,40,0,10,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3197 Other Assessment Professional Performance Assessment,BIO3197,Biological Literature Review,Dr T Taybi,Other Assessment,Prof Skill Assessmnt,1,40,0,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3197 Other Assessment Presentation session (10 minutes plus 5 minutes questions),BIO3197,Biological Literature Review,Dr T Taybi,Other Assessment,Prof Skill Assessmnt,1,40,0,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3197 Other Assessment Short Review (3000 words),BIO3197,Biological Literature Review,Dr T Taybi,Other Assessment,Written Exercise,1,40,0,15,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3198 Formative Assessment Project Plan,BIO3198,Biological Information Project,Dr T Taybi,Formative Assessment,Written Exercise,1,40,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3198 Formative Assessment Progress Report,BIO3198,Biological Information Project,Dr T Taybi,Formative Assessment,Written Exercise,1,40,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3198 Other Assessment Project Materials and Project Report (4000-6000 words),BIO3198,Biological Information Project,Dr T Taybi,Other Assessment,Dissertation,1,40,0,65,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3198 Other Assessment Poster for lay audience,BIO3198,Biological Information Project,Dr T Taybi,Other Assessment,Poster,1,40,0,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3198 Other Assessment Professional Performance Assessment,BIO3198,Biological Information Project,Dr T Taybi,Other Assessment,Prof Skill Assessmnt,1,40,0,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3198 Other Assessment Literature Review (3000 words),BIO3198,Biological Information Project,Dr T Taybi,Other Assessment,Written Exercise,1,40,0,15,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3199 Formative Assessment Project Plan,BIO3199,Biological Research Project,Dr T Taybi,Formative Assessment,Written Exercise,1,40,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3199 Formative Assessment Progress Report,BIO3199,Biological Research Project,Dr T Taybi,Formative Assessment,Written Exercise,1,40,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3199 Other Assessment Research Report (in the style of a concise journal article),BIO3199,Biological Research Project,Dr T Taybi,Other Assessment,Dissertation,1,40,0,80,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3199 Other Assessment Poster for a lay audience,BIO3199,Biological Research Project,Dr T Taybi,Other Assessment,Poster,1,40,0,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO3199 Other Assessment Professional Performance Assessment,BIO3199,Biological Research Project,Dr T Taybi,Other Assessment,Prof Skill Assessmnt,1,40,0,10,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8005 Other Assessment Case study report 2000 words max,BIO8005,Global challenges: biotech solutions,Dr C Tétard-Jones,Other Assessment,Essay,2,0,20,100,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8006 Other Assessment Each assessment comprises a class test,BIO8006,Field Identification Skills,Professor MJ Whittingham,Other Assessment,Practical/Lab Report,3,0,0,100,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8009 Formative Assessment On-line simulated practical exercises,BIO8009,Fundamentals of Cell & Molecular Biology,Dr E Hack,Formative Assessment,Computer Assessment,1,10,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8009 Other Assessment Structured Questions,BIO8009,Fundamentals of Cell & Molecular Biology,Dr E Hack,Other Assessment,Written Exercise,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIO8041 Other Assessment Practical report,BIO8041,Antimicrobial Discovery,Dr JEM Stach,Other Assessment,Practical/Lab Report,2,0,10,40,2023-08-31,NA,2023-09-01,NA,2023-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
